Disease,symptoms
aids," muscle_wasting, patches_in_throat, extra_marital_contacts"
aids," muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
aids," patches_in_throat, high_fever, extra_marital_contacts"
aids," muscle_wasting, patches_in_throat, high_fever"
aids," muscle_wasting, high_fever, extra_marital_contacts"
acne," skin_rash, pus_filled_pimples, scurring"
acne," skin_rash, blackheads, scurring"
acne," pus_filled_pimples, blackheads, scurring"
acne," skin_rash, pus_filled_pimples, blackheads"
acne," skin_rash, pus_filled_pimples, blackheads, scurring"
alcoholic hepatitis," vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload"
alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
alcoholic hepatitis," yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload"
alcoholic hepatitis," vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload"
alcoholic hepatitis," vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption"
allergy," shivering, chills, watering_from_eyes"
allergy," continuous_sneezing, shivering, watering_from_eyes"
allergy," continuous_sneezing, shivering, chills"
allergy," continuous_sneezing, shivering, chills, watering_from_eyes"
allergy," continuous_sneezing, chills, watering_from_eyes"
arthritis," muscle_weakness, stiff_neck, swelling_joints, painful_walking"
arthritis," muscle_weakness, stiff_neck, swelling_joints, movement_stiffness"
arthritis," muscle_weakness, stiff_neck, movement_stiffness, painful_walking"
arthritis," muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking"
arthritis," stiff_neck, swelling_joints, movement_stiffness, painful_walking"
arthritis," muscle_weakness, swelling_joints, movement_stiffness, painful_walking"
bronchial asthma," fatigue, cough, high_fever, breathlessness, mucoid_sputum"
bronchial asthma," fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum"
bronchial asthma," cough, high_fever, breathlessness, family_history, mucoid_sputum"
bronchial asthma," fatigue, cough, high_fever, family_history, mucoid_sputum"
bronchial asthma," fatigue, cough, high_fever, breathlessness, family_history"
bronchial asthma," fatigue, high_fever, breathlessness, family_history, mucoid_sputum"
bronchial asthma," fatigue, cough, breathlessness, family_history, mucoid_sputum"
cervical spondylosis," back_pain, weakness_in_limbs, neck_pain, loss_of_balance"
cervical spondylosis," weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
cervical spondylosis," back_pain, weakness_in_limbs, neck_pain, dizziness"
cervical spondylosis," back_pain, neck_pain, dizziness, loss_of_balance"
cervical spondylosis," back_pain, weakness_in_limbs, dizziness, loss_of_balance"
cervical spondylosis," back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
