label,text,extracted_symp
acne,"I've recently struggled with a really irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot.","skin_rash, blackheads, pus-filled_pimples, scratching"
acne,I've been struggling with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,I've been dealing with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,I've been noticing a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,I woke up this morning and found that I have a really nasty rash all over my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,"Recently, I've been experiencing a lot of acne breakouts with pimples that contain pus. I've also been struggling with blackheads.","acne, pimples, pus, blackheads"
acne,My skin has simply nonheritable a nasty rash. It's packed with pus-filled pimples and blackheads. My skin has been very sensitive moreover.,"rash, pimples, blackheads, skin_sensitivity"
acne,"My skin has developed a horrible rash. There are blackheads and pus-filled pimples everywhere. Furthermore, my skin has been exceedingly sensitive.","rash, blackheads, pus-filled_pimples, skin_sensitivity"
acne,My skin has now developed a revolting rash. There are pus-filled pimples and blackheads everywhere. My skin has also been really sensitive.,"rash, pus-filled_pimples, blackheads, skin_sensitivity"
acne,I've recently been dealing with an itching rash on my skin. It's covered in pus-filled pimples and blackheads. My skin has also been quite sensitive.,"itching, rash, pus-filled_pimples, blackheads, skin_sensitivity"
acne,I woke up this morning to find a really nasty rash on my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.,"rash, blackheads, pimples, pus, skin_scurrying"
acne,My skin has recently been severely rashy. Blackheads and pus-filled pimples have blocked it. My skin has been quite delicate as well.,"rash, blackheads, pimples, delicate_skin"
acne,"I recently experienced a severe skin rash. Blackheads and pimples filled with pus are clogging it. Additionally, my skin has been quite irritated.","skin_rash, blackheads, pimples, irritation"
acne,"A nasty rash has just appeared on my skin. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been extremely sensitive.","rash, blackheads, pimples, sensitivity"
acne,My skin has just acquired a nasty rash. It's full of pus-filled pimples and blackheads. My skin has been really sensitive as well.,"rash, pus-filled_pimples, blackheads, skin_sensitivity"
acne,I've been having a very unhealthy rash on my skin latterly. It's filled with pus-filled pimples and blackheads. My skin has additionally been scurring heaps.,"rash, pus-filled_pimples, blackheads, skin_scurfing"
acne,I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scurring a lot.,"rash, pimples, blackheads, scurfy_skin"
acne,I've just developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive.,"rash, pus-filled_pimples, blackheads, skin_sensitivity"
acne,"My skin has been breaking out in a terrible rash lately. Blackheads and pus-filled pimples abound on it. Additionally, my skin has been scurring a lot.","rash, blackheads, pimples, skin_scurfing"
acne,"I've recently been experiencing a severe skin rash. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been scurring a lot.","skin_rash, blackheads, pimples, scurf"
acne,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot.","rash, pimples, blackheads, scurf"
acne,"When I awoke this morning, I saw a severe rash across my skin. There are many pus-filled pimples and blackheads all over the place. My skin has also been shifting a lot.","rash, pus-filled_pimples, blackheads, skin_shifting"
acne,"My skin has developed a terrible rash that is not inherited. It has a lot of blackheads and pus-filled pimples. Furthermore, my skin has been exceedingly sensitive.","rash, blackheads, pus-filled_pimples, skin_sensitivity"
acne,I've recently been battling a pretty itchy rash on my skin. There are pus-filled pimples and blackheads all over it. My skin has also been scurring a lot.,"itchy, rash, pus-filled_pimples, blackheads, scurrying"
acne,Lately I've been experiencing a skin rash with a lot of pus-filled pimples and blackheads. My skin has also been scurring a lot.,"rash, pimples, blackheads, scurf"
acne,"When I woke up this morning, I saw a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been shifting a lot.","rash, blackheads, pus-filled_pimples, skin_shifting"
